date,timestamp,ranking,found,notes,screenshot
2025-10-13,2025-10-13T18:22:20.978623,16,True,"Found at position 16, hosted by DWARKESH PATEL",screenshots/chart_20251013_182210.png
2025-10-14,2025-10-14T01:26:12.745856,16,True,"Found at rank 16, hosted by DWARKESH PATEL",screenshots/chart_20251014_012602.png
2025-10-14,2025-10-14T10:07:38.072950,16,True,"Found at position 16, hosted by DWARKESH PATEL",screenshots/chart_20251014_100727.png
2025-10-15,2025-10-15T10:08:31.434707,17,True,"Found at position 17, hosted by DWARKESH PATEL",screenshots/chart_20251015_100820.png
2025-10-16,2025-10-16T10:08:40.410012,17,True,"Found at rank 17, hosted by DWARKESH PATEL",screenshots/chart_20251016_100830.png
2025-10-17,2025-10-17T10:06:47.306521,19,True,"Found at rank 19, hosted by DWARKESH PATEL",screenshots/chart_20251017_100636.png
2025-10-18,2025-10-18T10:06:53.959791,26,True,"Found at rank 26, hosted by DWARKESH PATEL",screenshots/chart_20251018_100643.png
2025-10-19,2025-10-19T10:05:56.375971,41,True,"Found at rank 41, hosted by DWARKESH PATEL",screenshots/chart_20251019_100546.png
2025-10-20,2025-10-20T10:06:44.188712,60,True,"Found at rank 60, listed under 'DWARKESH PATEL' as the author",screenshots/chart_20251020_100633.png
2025-10-21,2025-10-21T10:06:30.324585,90,True,"Found at rank 90, hosted by DWARKESH PATEL",screenshots/chart_20251021_100619.png
2025-10-22,2025-10-22T10:07:06.497613,,False,Dwarkesh Podcast is not visible in ranks 1-36 of this Top Podcasts chart,screenshots/chart_20251022_100648.png
2025-10-23,2025-10-23T10:06:53.372725,,False,Searched through all 36 visible podcasts in the chart. No podcast with 'Dwarkesh' in either the title or host name was found in this view of the Top Podcasts chart.,screenshots/chart_20251023_100642.png
2025-10-24,2025-10-24T10:08:32.085396,,False,Searched through all 36 visible podcasts (ranks 1-36) and did not find any podcast with 'Dwarkesh' in the title or host name. The podcast is not in the visible portion of this Top Podcasts chart.,screenshots/chart_20251024_100821.png
